ProductID,CategoryID,Price,days_to_expiry,discount
1,3,74.2988,0,60
2,3,91.2329,0,60
3,9,9.1379,111,0
4,9,54.3055,0,60
5,2,65.4771,27,10
6,8,79.7184,0,60
7,9,31.837,0,60
8,5,89.8573,108,0
9,11,84.4219,0,60
10,4,95.0957,105,0
11,9,6.2949,67,0
12,4,49.3356,0,60
13,11,28.2232,69,0
14,7,3.3324,0,60
15,1,32.442,0,60
16,2,54.7246,0,60
17,10,43.9182,0,60
18,10,23.3966,0,60
19,3,22.5614,94,0
20,3,85.9011,0,60
21,7,46.7252,0,60
22,6,27.8955,48,0
23,11,79.0184,0,60
24,3,89.037,65,0
25,10,80.7666,0,60
26,11,33.7821,10,20
27,1,17.1724,86,0
28,9,12.3153,0,60
29,7,33.5883,50,0
30,6,67.899,72,0
31,2,73.9851,0,60
32,3,96.4127,0,60
33,10,45.5551,0,60
34,6,43.3463,7,40
35,6,15.7233,97,0
36,9,69.2574,0,60
37,7,80.3171,0,60
38,6,81.6579,0,60
39,11,75.2059,120,0
40,8,8.9372,0,60
41,7,81.721,0,60
42,1,81.0488,0,60
43,9,16.3983,96,0
44,7,48.5981,0,60
45,4,79.5324,0,60
46,9,86.7915,0,60
47,9,47.1339,0,60
48,7,60.3625,114,0
49,8,61.4317,0,60
50,7,43.2864,0,60
51,11,81.0134,0,60
52,1,55.6059,0,60
53,8,92.6279,0,60
54,9,53.5592,0,60
55,3,6.6182,85,0
56,9,46.4033,0,60
57,3,12.2145,103,0
58,7,20.1009,91,0
59,10,73.5389,0,60
60,2,31.6949,0,60
61,8,62.546,90,0
62,1,19.5217,13,20
63,9,56.2689,0,60
64,6,16.5229,94,0
65,3,21.1106,0,60
66,7,9.8823,0,60
67,5,3.7805,108,0
68,6,84.8769,72,0
69,1,87.6092,0,60
70,4,63.1846,45,0
71,6,74.4076,0,60
72,4,62.2603,0,60
73,11,48.1907,0,60
74,7,13.6241,26,10
75,8,4.18,116,0
76,6,65.6765,95,0
77,9,11.4971,0,60
78,4,30.4202,0,60
79,11,9.5045,104,0
80,2,93.9752,0,60
81,2,86.6483,0,60
82,5,56.8099,63,0
83,1,50.8837,116,0
84,1,90.3019,0,60
85,7,86.8857,0,60
86,2,18.3791,0,60
87,7,3.7847,0,60
88,2,91.996,0,60
89,3,36.7281,0,60
90,9,69.32,37,0
91,6,57.0429,97,0
92,1,60.2161,0,60
93,8,8.119,11,20
94,9,43.5109,108,0
95,1,46.3913,0,60
96,7,62.1993,0,60
97,4,24.7798,0,60
98,3,99.8755,0,60
99,5,27.4874,0,60
100,9,69.6501,7,40
101,4,83.011,99,0
102,4,62.257,0,60
103,7,72.7534,0,60
104,5,98.2471,0,60
105,1,68.8789,0,60
106,7,18.753,19,10
107,1,7.4151,0,60
108,1,79.0038,0,60
109,1,49.3791,0,60
110,9,40.9417,48,0
111,11,34.9061,0,60
112,10,81.7943,0,60
113,7,10.5964,106,0
114,8,79.5638,93,0
115,11,45.0466,0,60
116,3,5.736,104,0
117,11,68.638,0,60
118,9,65.967,0,60
119,11,29.6372,0,60
120,2,2.7314,94,0
121,11,6.0976,0,60
122,4,11.7845,0,60
123,4,48.1487,0,60
124,4,18.2891,81,0
125,9,6.1417,0,60
126,6,14.1914,76,0
127,8,54.1413,34,0
128,2,4.6797,71,0
129,7,67.2329,0,60
130,2,41.9808,0,60
131,3,40.8967,0,60
132,6,11.6217,24,10
133,11,2.9327,0,60
134,2,39.8545,0,60
135,10,10.9641,61,0
136,10,24.3913,0,60
137,10,84.0566,0,60
138,7,52.6367,0,60
139,1,21.423,0,60
140,11,68.1326,16,10
141,1,10.964,37,0
142,6,24.7809,0,60
143,1,42.6169,0,60
144,5,95.7865,0,60
145,9,34.4139,27,10
146,7,75.2486,0,60
147,5,49.6197,0,60
148,11,28.5553,91,0
149,10,98.4644,0,60
150,9,40.6552,0,60
151,7,93.5613,0,60
152,7,58.8128,26,10
153,4,70.2382,0,60
154,4,24.756,0,60
155,9,63.5524,0,60
156,1,71.2264,0,60
157,11,14.1082,19,10
158,4,54.4643,18,10
159,7,92.1053,0,60
160,7,54.6874,0,60
161,10,64.6118,0,60
162,11,2.7353,117,0
163,6,11.7708,116,0
164,11,7.3982,0,60
165,6,0.0449,0,60
166,5,23.2843,0,60
167,11,78.8615,0,60
168,6,70.7419,29,10
169,10,68.5996,0,60
170,1,20.6553,0,60
171,5,21.6794,0,60
172,5,16.0013,72,0
173,8,44.544,0,60
174,11,61.5047,0,60
175,1,91.7675,52,0
176,6,81.3167,90,0
177,3,69.1677,0,60
178,10,52.3623,0,60
179,6,83.8752,26,10
180,3,30.8932,27,10
181,1,64.5718,0,60
182,9,25.586,54,0
183,4,6.2154,0,60
184,9,26.5776,0,60
185,6,48.4195,40,0
186,8,82.0839,0,60
187,3,41.3835,31,0
188,8,78.1768,91,0
189,5,76.3021,16,10
190,9,39.7378,93,0
191,10,10.283,0,60
192,7,29.5923,0,60
193,11,60.5314,19,10
194,6,66.7357,0,60
195,2,3.5208,70,0
196,1,8.2286,0,60
197,1,13.0101,0,60
198,1,35.2187,60,0
199,10,95.7415,105,0
200,5,11.1295,0,60
201,8,96.3871,117,0
202,11,78.8778,0,60
203,1,59.9557,29,10
204,9,77.809,5,40
205,5,18.9757,32,0
206,3,77.56,0,60
207,10,14.2688,116,0
208,5,8.7335,15,20
209,3,32.9885,0,60
210,3,82.2358,0,60
211,9,2.0587,76,0
212,2,61.746,97,0
213,10,70.5891,39,0
214,5,61.2121,0,60
215,7,90.1157,92,0
216,1,39.0257,0,60
217,8,96.52,0,60
218,8,85.1933,31,0
219,5,58.9787,0,60
220,10,17.961,0,60
221,3,81.9008,0,60
222,3,0.6846,0,60
223,1,94.4399,0,60
224,1,28.8618,0,60
225,3,10.3722,0,60
226,10,92.0872,0,60
227,5,55.4699,0,60
228,3,77.8083,93,0
229,9,57.9838,66,0
230,11,83.5389,75,0
231,5,68.3066,0,60
232,3,33.949,0,60
233,11,56.6209,0,60
234,1,72.7457,0,60
235,6,34.5061,0,60
236,1,85.694,113,0
237,8,65.6303,94,0
238,6,28.4065,0,60
239,5,7.6019,0,60
240,4,70.8596,0,60
241,9,67.8151,0,60
242,9,32.65,11,20
243,6,45.1883,104,0
244,2,94.0664,0,60
245,1,37.6791,111,0
246,9,48.5371,96,0
247,9,59.0033,58,0
248,7,99.3193,0,60
249,10,76.6201,0,60
250,1,64.4951,0,60
251,5,11.7087,7,40
252,4,27.8169,83,0
253,7,76.24,0,60
254,1,77.7804,0,60
255,3,29.2287,0,60
256,6,95.7024,0,60
257,11,84.438,0,60
258,1,31.0939,0,60
259,7,67.4367,71,0
260,7,26.8886,31,0
261,9,22.0901,0,60
262,7,36.4605,41,0
263,7,50.7497,0,60
264,3,49.4497,0,60
265,10,13.9292,7,40
266,7,68.1097,0,60
267,2,5.125,0,60
268,9,97.8435,0,60
269,11,26.706,0,60
270,6,4.4216,101,0
271,5,73.3954,0,60
272,2,68.1134,13,20
273,4,77.5913,0,60
274,2,88.1192,0,60
275,1,50.146,88,0
276,5,49.2508,0,60
277,9,55.4964,118,0
278,11,0.3735,87,0
279,1,91.1828,0,60
280,5,61.8352,0,60
281,2,33.0839,0,60
282,10,56.1506,88,0
283,4,1.1882,0,60
284,9,93.4888,0,60
285,7,71.8302,107,0
286,2,40.4897,29,10
287,7,57.709,0,60
288,11,78.8405,0,60
289,10,43.5169,0,60
290,1,38.8037,110,0
291,2,1.2559,0,60
292,8,34.5364,0,60
293,11,60.9698,0,60
294,10,80.7133,18,10
295,7,48.7695,0,60
296,3,31.3545,90,0
297,3,81.9003,120,0
298,4,95.7387,0,60
299,4,80.1371,0,60
300,5,69.5694,0,60
301,8,43.412,0,60
302,11,61.1598,0,60
303,7,72.6133,0,60
304,5,72.1984,0,60
305,8,91.0997,19,10
306,4,43.5953,117,0
307,1,50.2256,0,60
308,6,88.1209,0,60
309,11,27.6344,76,0
310,9,79.978,0,60
311,9,40.206,56,0
312,1,84.0645,54,0
313,11,39.9111,116,0
314,2,5.6015,82,0
315,6,93.8047,0,60
316,11,65.9395,94,0
317,3,35.2723,0,60
318,10,57.261,76,0
319,7,77.6195,0,60
320,9,73.4396,0,60
321,1,10.4007,0,60
322,2,26.2846,0,60
323,10,54.3266,99,0
324,10,87.9023,42,0
325,5,3.1657,87,0
326,9,38.859,0,60
327,2,7.1436,0,60
328,6,96.8781,35,0
329,6,39.3496,0,60
330,10,18.7914,0,60
331,3,67.3505,80,0
332,5,59.7578,0,60
333,7,20.2364,0,60
334,7,21.6133,0,60
335,9,18.4231,84,0
336,2,71.9241,0,60
337,3,83.5373,0,60
338,11,28.9899,0,60
339,2,2.389,0,60
340,3,28.2349,0,60
341,1,90.2641,0,60
342,1,69.5881,51,0
343,1,51.2061,0,60
344,2,63.5389,114,0
345,4,98.5978,67,0
346,1,17.1914,0,60
347,8,94.6253,0,60
348,10,55.3683,54,0
349,4,86.9086,0,60
350,8,82.83,0,60
351,1,96.0823,0,60
352,4,24.6393,5,40
353,8,18.1191,80,0
354,7,6.6975,0,60
355,5,59.1687,12,20
356,6,17.1274,0,60
357,2,6.8332,0,60
358,9,84.7111,0,60
359,11,69.0327,96,0
360,10,52.2407,89,0
361,2,36.4516,71,0
362,7,53.3476,0,60
363,11,48.7712,0,60
364,1,8.8429,0,60
365,7,12.6274,95,0
366,4,80.4483,0,60
367,5,63.8281,65,0
368,4,18.2978,0,60
369,5,87.1785,10,20
370,4,21.8806,0,60
371,8,82.4022,0,60
372,3,6.2824,0,60
373,9,54.8719,0,60
374,5,49.3846,0,60
375,8,83.1755,80,0
376,11,40.8126,51,0
377,1,75.0785,7,40
378,9,90.7877,0,60
379,7,89.3046,81,0
380,4,85.9743,0,60
381,1,44.2337,41,0
382,4,51.7754,0,60
383,2,9.9694,0,60
384,10,56.5197,105,0
385,10,22.7091,97,0
386,10,42.7112,0,60
387,9,41.6386,100,0
388,1,13.5389,0,60
389,3,62.4447,103,0
390,3,1.2956,0,60
391,1,65.0908,72,0
392,5,98.8263,33,0
393,1,59.9572,0,60
394,3,50.1484,76,0
395,1,91.7833,0,60
396,6,36.9165,0,60
397,1,20.8169,70,0
398,11,42.3632,67,0
399,6,50.9114,0,60
400,1,18.1495,0,60
401,8,53.3634,51,0
402,5,76.3275,6,40
403,5,68.1898,0,60
404,1,65.028,0,60
405,11,0.4278,0,60
406,9,89.7999,0,60
407,7,69.7674,0,60
408,4,68.7346,0,60
409,11,23.522,0,60
410,6,18.356,91,0
411,6,42.0489,0,60
412,5,16.0456,0,60
413,3,95.4065,5,40
414,7,83.0585,87,0
